Wavelength,Udid_Dal00000.asd,Udid_Dal00001.asd,Udid_Dal00002.asd,Udid_Dal00003.asd,Udid_Dal00004.asd,Udid_Dal00005.asd,Udid_Dal00006.asd,Udid_Dal00007.asd,Udid_Dal00008.asd,Udid_Dal00009.asd
545,0.501195018,0.501402015,0.501208423,0.501047925,0.501166455,0.501189174,0.501187436,0.501314717,0.501334366,0.501202897
546,0.502506356,0.502488877,0.502565117,0.502342309,0.502470079,0.502491555,0.502467795,0.502598137,0.502710717,0.502457873
547,0.503682038,0.50360678,0.503928365,0.503890687,0.50385687,0.503860667,0.503807141,0.503965827,0.504009235,0.503922182
548,0.504952998,0.504925767,0.504851682,0.505107774,0.505053736,0.50515456,0.505067319,0.505114234,0.505142021,0.505006466
549,0.506096087,0.506207784,0.5059989,0.506056219,0.506339055,0.506300964,0.506138857,0.506460509,0.50623907,0.506163476
550,0.507085587,0.507234106,0.507166799,0.5070027,0.507346931,0.507291711,0.507163819,0.507576424,0.507311079,0.507327049
551,0.508031302,0.508043783,0.508122548,0.508137083,0.507954544,0.508200633,0.508258661,0.508228261,0.508362203,0.508358759
552,0.509357807,0.509465984,0.509107439,0.509255524,0.509189812,0.509291661,0.509269348,0.50929917,0.509462352,0.509198488
553,0.510411501,0.510565214,0.510283943,0.510411963,0.51032614,0.510298828,0.510350108,0.510443859,0.510569581,0.510205703
554,0.511247784,0.5113535,0.511471316,0.511524787,0.511284763,0.511214983,0.511454008,0.51151603,0.511616456,0.511423947
555,0.512333764,0.512409423,0.512300799,0.512435107,0.512365095,0.512191333,0.512406544,0.512490622,0.512521553,0.512639473
556,0.513161329,0.513216292,0.513045639,0.513134466,0.513066917,0.513146606,0.513159772,0.513243924,0.513236356,0.513267267
557,0.513920627,0.514019242,0.513877645,0.513904738,0.513896588,0.514070627,0.514058368,0.51403342,0.514009622,0.51399255
558,0.514785411,0.514969525,0.514829428,0.514855234,0.515069654,0.514941933,0.515154241,0.514981824,0.514947116,0.515128165
