Wavelength,Bel-fruit00000.asd,Bel-fruit00001.asd,Bel-fruit00002.asd,Bel-fruit00003.asd,Bel-fruit00004.asd,Bel-fruit00005.asd,Bel-fruit00006.asd,Bel-fruit00007.asd,Bel-fruit00008.asd,Bel-fruit00009.asd
438,0.231316732,0.232813756,0.232329495,0.232655757,0.231456109,0.230810515,0.23172879,0.231429008,0.232632011,0.231109385
439,0.232411424,0.233716501,0.233697236,0.233627119,0.232969535,0.233129117,0.232900775,0.233665851,0.233629241,0.231709814
440,0.234632527,0.234212685,0.233635132,0.235146451,0.233174711,0.234051011,0.23554293,0.23526043,0.235746061,0.233378897
441,0.235879581,0.235263321,0.235407877,0.236585166,0.235124338,0.234786089,0.235844741,0.236660739,0.236989971,0.235789573
442,0.237015603,0.236816941,0.237298061,0.237684202,0.236181252,0.236370814,0.236605361,0.237176742,0.237697114,0.23634069
443,0.238575775,0.238307084,0.238262382,0.238593659,0.236810925,0.237789568,0.237725119,0.237333575,0.238254238,0.23673043
444,0.240652529,0.239176265,0.238098434,0.23968634,0.238473259,0.23776093,0.238231278,0.238150791,0.239078719,0.23968493
445,0.240909641,0.240760961,0.240625299,0.241350879,0.239711221,0.240068657,0.23993601,0.240124404,0.240104061,0.24083175
446,0.241223107,0.242057596,0.242859483,0.242803264,0.241396168,0.242342962,0.241665302,0.241790788,0.241662373,0.241573559
447,0.242742244,0.243020794,0.243416104,0.243833332,0.243553904,0.243225439,0.242788779,0.242740932,0.243424489,0.242937091
448,0.245211278,0.24526725,0.243857403,0.245139976,0.244788506,0.243399769,0.24374623,0.244237403,0.244080262,0.244776771
449,0.246054087,0.245880516,0.244780758,0.246476923,0.245405433,0.244480664,0.244873634,0.245275259,0.245260169,0.245069805
450,0.246388099,0.246083669,0.246115597,0.247302357,0.245944218,0.245770503,0.245822234,0.246247238,0.246432583,0.245354879
451,0.247757973,0.247639226,0.247516436,0.24743004,0.246931294,0.246443681,0.246349248,0.247711332,0.246984156,0.247262806
452,0.248372602,0.249272622,0.248606699,0.248483141,0.24843798,0.248377442,0.247505466,0.249228239,0.248744315,0.248049637
453,0.249594385,0.250656543,0.250071871,0.249632592,0.249803067,0.250171537,0.249143305,0.250649736,0.249958242,0.249489197
454,0.25129184,0.251588844,0.251383533,0.250435011,0.250737206,0.251090951,0.250662034,0.251683174,0.25053676,0.251364925
455,0.251969576,0.251991097,0.251042279,0.250933695,0.251317947,0.251173434,0.251190455,0.25195367,0.251925124,0.251654581
456,0.252893546,0.252604673,0.252373011,0.252863659,0.251531113,0.252077492,0.252953208,0.25266964,0.253010307,0.252572695
457,0.253938069,0.253682483,0.253729977,0.254594887,0.252309451,0.25319629,0.254168108,0.253386519,0.253676077,0.253719643
458,0.254806784,0.255029444,0.253754691,0.254832342,0.254025072,0.253829764,0.253804819,0.253816731,0.254254024,0.254451246
459,0.255484146,0.255512767,0.254683743,0.254920781,0.255105405,0.254335689,0.255189764,0.255175444,0.255965253,0.254891407
460,0.256451775,0.256760556,0.25580995,0.256204333,0.256436918,0.255253871,0.256047438,0.256053782,0.256377106,0.255555889
