Wavelength,teth_ambada00000.asd,teth_ambada00001.asd,teth_ambada00002.asd,teth_ambada00003.asd,teth_ambada00004.asd,teth_ambada00005.asd,teth_ambada00006.asd,teth_ambada00007.asd,teth_ambada00008.asd,teth_ambada00009.asd
412,0.171557357,0.170240019,0.167869647,0.173431513,0.17436469,0.171335918,0.169560691,0.172973262,0.172998061,0.172985343
413,0.169218237,0.169544578,0.169314607,0.171099587,0.173033539,0.17220377,0.170566832,0.16994764,0.173964059,0.172077604
414,0.167050734,0.168301142,0.170785508,0.168681886,0.170652183,0.172202252,0.170834787,0.168095954,0.173226083,0.170505351
415,0.167296703,0.166945119,0.167629138,0.168596855,0.169013765,0.170393917,0.169745627,0.169090566,0.169716193,0.16876806
416,0.168417951,0.167237304,0.167553491,0.166313297,0.169338756,0.169843064,0.167746459,0.168467627,0.168449455,0.168914357
417,0.168145589,0.167603291,0.168915471,0.166766239,0.169125146,0.169623852,0.167071018,0.167328246,0.168957573,0.169499648
418,0.166442626,0.167461339,0.169293831,0.168767924,0.168170275,0.168763025,0.16713345,0.166379257,0.169378982,0.169906917
419,0.164767296,0.166938295,0.166413291,0.167513074,0.167737628,0.166566729,0.165833406,0.165940804,0.167408108,0.170001591
420,0.163454893,0.166029841,0.165011136,0.165082151,0.167328251,0.165502385,0.16644908,0.165173075,0.166211798,0.168168537
421,0.162211528,0.164887762,0.163965272,0.164460602,0.166742926,0.164922732,0.166976443,0.164639415,0.165250126,0.16601571
422,0.161363755,0.16392565,0.162477252,0.165925561,0.16579464,0.164325331,0.16611398,0.164468708,0.16441955,0.164896463
423,0.16298223,0.164183346,0.161925522,0.164404855,0.164097636,0.16448709,0.16511192,0.163403436,0.165687665,0.164896378
424,0.163257257,0.163657372,0.162567034,0.161791274,0.162773435,0.164015767,0.165144823,0.163581335,0.166561439,0.165139113
425,0.162078513,0.162854273,0.162917598,0.160587752,0.162455462,0.16304357,0.164678741,0.164124884,0.16590989,0.16517381
426,0.160794094,0.162730172,0.161483402,0.162506057,0.163127012,0.162188169,0.162022085,0.163345505,0.163648547,0.164650648
427,0.160351195,0.160880278,0.160796827,0.163043859,0.162471367,0.160998836,0.160727808,0.161610475,0.162224442,0.162629458
428,0.159625473,0.159656662,0.160691103,0.162000244,0.161236996,0.16120021,0.160793505,0.160972575,0.161219332,0.160681831
429,0.158735687,0.159613109,0.160139059,0.160097545,0.16047933,0.162228894,0.161337875,0.161334896,0.16038946,0.159721891
430,0.159404354,0.158899502,0.157366947,0.158667574,0.161329604,0.160808368,0.160831793,0.16005725,0.159959487,0.159714071
431,0.158499671,0.158388685,0.15627812,0.158277259,0.161025952,0.159500429,0.159988468,0.159278139,0.15907106,0.159765649
432,0.156485859,0.157280807,0.15667412,0.158289591,0.15979061,0.158308514,0.159307817,0.15918534,0.158483448,0.159519557
433,0.154880323,0.155523363,0.157231859,0.157931528,0.158614955,0.157033565,0.158825485,0.159132053,0.158894332,0.15875296
